ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'221  West  Main  St.  Medford  OR  97501-2728','ROOFTOP',42.324915,-122.875201
'419  E.  7th  Street  The  Dalles  OR  97058-2676','ROOFTOP',45.598045,-121.18313
'855  North  Euclid  Avenue  Ontario  CA  91762','ROOFTOP',34.073656,-117.650983
'1101  6th  Ave  N  Nashville  TN  37208-2650','ROOFTOP',36.173887,-86.788702
'2725  Judge  Fran  Jamieson  Way  Viera  FL  32940','ROOFTOP',28.247687,-80.73085
'199  S.  Herlong  Avenue  Rock  Hill  SC  29732','ROOFTOP',34.955209,-81.049951
'One  Court  House  Square  Kenton  OH  43326-2391','ROOFTOP',40.665289,-83.603034
'1111  University  Avenue  Des  Moines  IA  50314-2329','ROOFTOP',41.600515,-93.631851
'1900  Prosperity  Street  Reno  NV  89502-1543','ROOFTOP',39.523981,-119.787921
'1276  West  Third  St.  #400  Cleveland  OH  44113-1512','ROOFTOP',41.419286,-81.701695
'7100  Mission  Street  Daly  City  CA  94014-2201','ROOFTOP',37.694454,-122.464886
'101  West  Colfax  Ave.  Denver  CO  80202','ROOFTOP',39.740046,-104.987913
'260  South  Broad  Street  Philadelphia  PA  19102-5021','ROOFTOP',39.947395,-75.164832
'2387  E.  Saunders  Suite  2  Laredo  TX  78041-5434','ROOFTOP',27.530458,-99.472336
'2055  Reyko  Road  Ste.  101  Jacksonville  FL  32207-2809','ROOFTOP',30.301311,-81.616304
'5400  Arsenal  St.  St.  Louis  MO  63139-1403','ROOFTOP',38.606006,-90.279325
'7703  Floyd  Curl  Drive  San  Antonio  TX  78229-3900','ROOFTOP',29.509082,-98.573945
'3130  E.  Broadway  Blvd.  Suite  180  Tucson  AZ  85716','ROOFTOP',32.221471,-110.926198
'2101  Alexian  Drive  Suite  110  San  Jose  CA  95116-1901','ROOFTOP',37.359077,-121.848511
'800  South  Victoria  Ave.  Oxnard  CA  93009-0004','ROOFTOP',34.270368,-119.213398
'270  Highway  35  Red  Bank  NJ  07701-5920','ROOFTOP',40.365628,-74.083096
'1306  Spring  Garden  Street  Philadelphia  PA  19123-3213','ROOFTOP',39.961854,-75.159418
'7703  Floyd  Curl  Drive  San  Antonio  TX  78229-3901','ROOFTOP',29.509082,-98.573945
'6655  66th  Street  North  Pinellas  Park  FL  33781-5033','ROOFTOP',27.832381,-82.728376
'110  S.  Maple  Suite  F  Galena  MO  65656','ROOFTOP',36.805336,-93.465688
'4520  N.  Central  Avenue  Suite  620  Phoenix  AZ  85012-1848','ROOFTOP',33.502337,-112.073841
'5715  South  Broadway  Los  Angeles  CA  90037-4131','ROOFTOP',33.990464,-118.278367
'3905  Grissom  Parkway  Cocoa  FL  32926-3669','ROOFTOP',28.411012,-80.786467
'6655  66th  Street  St.  Petersburg  FL  33781-5033','ROOFTOP',27.832284,-82.718279
'232  NW  Sixth  Avenue  Portland  OR  97209','ROOFTOP',45.525285,-122.676429
'103  Bacon  Street  Pawtuckett  RI  02860-5542','ROOFTOP',41.872445,-71.367015
'2515  S.  Congress  Ave.  Austin  TX  78704-5513','ROOFTOP',30.252273,-97.748652
'311  East  175th  St.  Bronx  NY  10457','ROOFTOP',40.846691,-73.904237
'3050  Biscayne  Blvd  Miami  FL  33137-4176','ROOFTOP',25.80591,-80.189473
'201  Poplar  Ave  Memphis  TN  38103-1945','ROOFTOP',35.149195,-90.047575
'33  Mulberry  St.  Springfield  MA  01105-1406','ROOFTOP',42.101214,-72.579438
'2007  Texas  Ave.  El  Paso  TX  79901','ROOFTOP',31.771085,-106.468276
'2241  Langhorne  Rd.  Lynchburg  VA  24501-1114','ROOFTOP',37.412631,-79.173419
'1717  Taylor  Avenue  Racine  WI  53403-2405','ROOFTOP',42.710291,-87.806539
'537  S.  Alvarado  Street  Los  Angeles  CA  90057','ROOFTOP',34.060117,-118.274443
'3722  Pinemont  Drive  Houston  TX  77018-1220','ROOFTOP',29.841183,-95.437638
'330  East  Bay  St.  Jacksonville  FL  32202-2921','ROOFTOP',30.325272,-81.653978
'25  Beaver  Street  Room  1131  New  York  NY  10004','ROOFTOP',40.704892,-74.01207
'801  E.  Twiggs  St.  Tampa  FL  33602-3554','ROOFTOP',27.950622,-82.454391
'Campus  Box  2447  Huntsville  TX  77341','ROOFTOP',30.78128,-95.59527
'401  5th  Avenue  Seattle  WA  98104','ROOFTOP',47.60227,-122.327885
'15490  NW  7th  Avenue  Miami  FL  33169','ROOFTOP',25.916139,-80.211767
'702  San  Pedro  Ave  San  Antonio  TX  78212-4610','ROOFTOP',29.43962,-98.498491
'3840  Hulen  Street  Fort  Worth  TX  76107-7277','ROOFTOP',32.728139,-97.387847
'11500  Paramount  Blvd  Downey  CA  90241-4530','ROOFTOP',33.940505,-118.139569
'313  North  Birch  Street  Santa  Ana  CA  92701-5263','ROOFTOP',33.747224,-117.870795
'301  E.  Mitchell  St.  San  Antonio  TX  78210','ROOFTOP',29.391945,-98.488689
'605  W.  Olympic  Blvd.  Suite  600  Los  Angeles  CA  90015-1475','ROOFTOP',34.043777,-118.261697
'107  S.  5th  St.  Richmond  VA  23219-3825','ROOFTOP',37.539403,-77.440694
'1080  Emeline  Ave.  Santa  Cruz  CA  95060-1966','ROOFTOP',36.992166,-122.017537
'P.O.  Box  33  Avon  Park  FL  33826-0033','ROOFTOP',27.339483,-81.252872
'90  E.  Leslie  Lane  Columbia  MO  65202','ROOFTOP',38.972007,-92.335853
'4520  North  Central  Avenue  Suite  620  Phoenix  AZ  85012-1848','ROOFTOP',33.502337,-112.073841
'2347  East  Saunders  Street  Laredo  TX  78041-5434','ROOFTOP',27.530461,-99.472804
'1534  White  Ave  Knoxville  TN  37996-4509','ROOFTOP',35.958652,-83.929423
'1220  Bardstown  Rd  Louisville  KY  40204-1304','ROOFTOP',38.236779,-85.71802
'720  Rutland  Avenue  Baltimore  MD  21205-2109','ROOFTOP',39.298693,-76.59246
'240  W.  Tyrone  Road  Oak  Ridge  TN  37830-6517','ROOFTOP',36.02496,-84.243384
'158  Mill  Hill  Ave  Bridgeport  CT  06610-2800','ROOFTOP',41.188572,-73.165383
'4287  Five  Oaks  Dr  Lansing  MI  48911-4214','ROOFTOP',42.681893,-84.516275
'1111  Barranca  Dr.  Suite  800  El  Paso  TX  79935-5006','ROOFTOP',31.747332,-106.335037
'54  W.  Twin  Oaks  Terrace  Suite  12  South  Burlington  VT  05403-7141','ROOFTOP',44.452102,-73.172201
'303  W.  Colfax  Ave.  Suite  1401  Denver  CO  80204-2626','ROOFTOP',39.740199,-104.991675
