"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
5173957,"Chicago","23D","theft from building","larceny/theft offenses","property","2018-06-16 02:00",-87.628914,41.890052,"bar/club","leisure","170310816001007",,
5174166,"Chicago","13B","simple assault","assault offenses","persons","2018-06-16 10:40",-87.688698,41.961882,"street","street","170310409002008",,
5174201,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-16 11:40",-87.711781,41.884674,"other","other","170318368001016",,
5174566,"Chicago","13B","simple assault","assault offenses","persons","2018-06-16 21:40",-87.639385,41.935126,"residence","residence","170310633022000",,
5174775,"Chicago","13B","simple assault","assault offenses","persons","2018-06-17 02:30",-87.743853,41.878059,"street","street","170312522021009",,
5174790,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-17 03:00",-87.627391,41.866535,"residence","residence","170313302002008",,
5174793,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-17 03:00",-87.71717,41.842057,"street","street","170313017012004",,
5174807,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-17 03:26",-87.674502,41.770249,"residence","residence","170316714002016",,
5174816,"Chicago","22B","non-residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-17 03:43",-87.664658,41.79679,"office","commercial","170316119001027",,
5174868,"Chicago","13B","simple assault","assault offenses","persons","2018-06-17 05:35",-87.628612,41.892462,"street","street","170310816001001",,
5174940,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-17 09:00",-87.643599,41.828036,"residence","residence","170318399003005",,
5175472,"Chicago","520","weapon law violations","weapon law violations","society","2018-06-17 23:34",-87.576955,41.722449,"street","street","170315103002006",,
5175475,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-17 23:38",-87.613036,41.741161,"residence","residence","170314402023004",,
5175485,"Chicago","13B","simple assault","assault offenses","persons","2018-06-18 00:00",-87.585063,41.791711,"street","street","170314110002008",,
5175565,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-18 02:34",-87.628029,41.759306,"street","street","170316911001029",,
5175791,"Chicago","13B","simple assault","assault offenses","persons","2018-06-18 10:55",-87.62074,41.702495,"street","street","170314909022043",,
5175833,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-18 11:51",-87.705182,41.849407,"other","other","170313009002009",,
5175901,"Chicago","13B","simple assault","assault offenses","persons","2018-06-18 13:30",-87.622622,41.800866,"residence","residence","170318361001005",,
5175903,"Chicago","12A","personal robbery","robbery","property","2018-06-18 13:30",-87.76161,41.874466,"street","street","170312521023003",,
5175917,"Chicago","13B","simple assault","assault offenses","persons","2018-06-18 13:45",-87.734936,41.884574,"street","street","170312603001012",,
5175950,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-18 14:25",-87.682102,42.009536,"residence","residence","170310107012015",,
5176090,"Chicago","23C","shoplifting","larceny/theft offenses","property","2018-06-18 17:45",-87.675049,42.019399,"supermarket","retail","170310102021001",,
5176171,"Chicago","13B","simple assault","assault offenses","persons","2018-06-18 19:38",-87.574721,41.726126,"residence","residence","170314804004023",,
5176222,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-18 21:00",-87.694857,41.979495,"residence","residence","170310402022008",,
5176291,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-18 23:00",-87.624538,41.750772,"rapid transit","transportation","170314403005001",,
5176315,"Chicago","250","counterfeiting/forgery","counterfeiting/forgery","property","2018-06-19 00:00",-87.714022,41.860171,"other","other","170312912002013",,
5176414,"Chicago","13B","simple assault","assault offenses","persons","2018-06-19 06:55",-87.753113,41.941484,"residence","residence","170311510011007",,
5176563,"Chicago","13B","simple assault","assault offenses","persons","2018-06-19 11:30",-87.688801,41.879001,"school","education","170312808001010",,
5176673,"Chicago","13B","simple assault","assault offenses","persons","2018-06-19 14:00",-87.621663,41.721763,"green space","open space","170314903002023",,
5176722,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-19 15:00",-87.670629,41.716623,"residence","residence","170317202003009",,
5176898,"Chicago","12U","other robbery","robbery","property","2018-06-19 18:56",-87.674377,41.852198,"other","other","170313109002008",,
5176911,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-19 19:00",-87.724943,41.858312,"other","other","170312925001005",,
5176915,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-19 19:15",-87.612187,41.69388,"residence","residence","170314909011020",,
5176936,"Chicago","13B","simple assault","assault offenses","persons","2018-06-19 20:00",-87.664091,41.808615,"hotel","hotel","170316112002001",,
